,_id,uname,url,loc,uid,sname,descr,nfans,nfri
0,5eeb7f66e836a1a3ebda0104,David Agranovich,https://twitter.com/DavidAgranovich/,"San Francisco, CA",1065354878866808833,DavidAgranovich,,-1,-1
1,5eec168ae836a1a3eb0c475d,Alexis C. Madrigal,https://twitter.com/alexismadrigal/,Oakland Department of Fantics,11107172,alexismadrigal,"@TheAtlantic | running @covid19tracking | book @mcdbooks | board @chptr510 | VP @NAHJBayArea | Earthseed, 🇲🇽",206187,5006
2,5eebc828e836a1a3ebf57ac8,Anna Merlan,https://twitter.com/annamerlan/,"Los Angeles, CA",112017297,annamerlan,"Senior Staff Writer, Vice Features. Before: Jezebel, Village Voice, Dallas Observer. Author of REPUBLIC OF LIES. Tips: anna.merlan@vice.com. DM for Signal.",34077,3895
3,5eebd071e836a1a3ebf7e4c3,Rosie Gray,https://twitter.com/RosieGray/,"New York, NY",116341480,RosieGray,"reporter, @BuzzFeedNews. media and politics. rosie.gray@buzzfeed.com // rosiegray@protonmail.com",116801,2310
4,5efe1731bc118387b4957f5d,Paul McLeod,https://twitter.com/pdmcleod/,,123322294,pdmcleod,Capitol Hill reporter with BuzzFeed News DC bureau. paul.mcleod@buzzfeed.com,46062,2563
5,5eeb66bbe836a1a3ebccd048,Mike Masnick,https://twitter.com/mmasnick/,,1270191,mmasnick,,-1,-1
6,5eec3785e836a1a3eb1508a6,Niels Lesniewski,https://twitter.com/nielslesniewski/,"Washington, D.C.",140286364,nielslesniewski,,-1,-1
7,5eeb6bd3e836a1a3ebcff9a1,Henry J. Gomez,https://twitter.com/HenryJGomez/,Cleveland ,14340977,HenryJGomez,,-1,-1
8,5eeb7566e836a1a3ebd51ea0,Stephanie M. Lee,https://twitter.com/stephaniemlee/,San Francisco,15022464,stephaniemlee,"Science reporter, BuzzFeed News / stephanie.lee@buzzfeed.com / open DMs and on Signal (ask)",20147,1805
9,5eeb6247e836a1a3ebca0c0e,Judd Legum,https://twitter.com/JuddLegum/,"Washington, DC",15464697,JuddLegum,"I write Popular Information, a newsletter about politics and power. 

Send tips: DMs open | judd@popular.info |  jlegum@protonmail.com",449701,1343
10,5eeb9e83e836a1a3ebe7785a,Just Jack,https://twitter.com/jack2ber/,"New York, New York",15570631,jack2ber,,-1,-1
11,5f00c9833a00fe430be572a8,Nicole Sanchez,https://twitter.com/nmsanchez/,Ohlone land,15813127,nmsanchez,,-1,-1
12,5eec3e64e836a1a3eb16c900,Tom Namako,https://twitter.com/TomNamako/,Brooklyn via Philly,160951141,TomNamako,"Deputy Editor-in-Chief @BuzzFeedNews. Former @WSJ, @NYPost, @citypaper, @acpressacnews",28571,2640
13,5eeb6322e836a1a3ebca94c4,Ellen Carmichael,https://twitter.com/ellencarmichael/,"Washington, D.C.",16721461,ellencarmichael,"President, @TheLafayetteCo. Campaigns, Capitol Hill & @LSU alumna. ⚜️",22690,1251
14,5eeb8120e836a1a3ebdac150,Jason Leopold,https://twitter.com/JasonLeopold/,City of Angels,17094311,JasonLeopold,Senior investigative reporter @BuzzFeedNews I-Team. 'FOIA terrorist.' Band Tshirt hoarder. Punk. RISE ABOVE. jasonleopold@protonmail.com Signal 213-270-4334,130692,3830
15,5fc5c3ed66d4cd09de8592df,Mark D. Levine,,The Island of Manhattan,17143007,MarkLevineNYC,"NYC Councilmember, Chair of Health Committee. Rep'ing District 7 (Washington Hghts, W. Harlem, UWS). Running for Manhattan Borough Pres '21. En español y בעברית",48549,2974
16,5eeb75f1e836a1a3ebd567da,Brandon Wall,https://twitter.com/Walldo/,CHI Sun-Times ➡️ BFLA ➡️ BFNY,17614726,Walldo,Deputy Curation Director @BuzzFeedNews | I oversee content distribution and help with newsroom strategy | Reporter @ heart | @suntimes alum,22229,4461
17,5eeb91b3e836a1a3ebe28381,Millie Tran,https://twitter.com/millie/,"New York, NY",23803,millie,"embracing the chaos here, but there must be a better way. chief product officer @texastribune. always @nytimes @buzzfeednews @ampress @cfr_org @atlanticmedia",14672,4914
18,5eeb6c17e836a1a3ebd0213d,Bob Wachter,https://twitter.com/Bob_Wachter/,San Francisco,239210681,Bob_Wachter,,-1,-1
19,5eeb75a2e836a1a3ebd53ec6,Azeen Ghorayshi,https://twitter.com/azeen/,,256722290,azeen,science editor @BuzzFeedNews / send me tips: azeen.g@buzzfeed.com / signal: ask me (open DMs) / fairly certain I've watched more fly sex than you,11770,1475
20,5ef0ff5f9dcbfcb0061518fa,Joe Dator,https://twitter.com/JoeDator/,NYC,270728353,JoeDator,,-1,-1
21,5eebaa2de836a1a3ebeb8dc3,Teddy Schleifer,https://twitter.com/teddyschleifer/,Open DMs — ask for my Signal #,286432534,teddyschleifer,,-1,-1
22,5eeb7ea7e836a1a3ebd9ab5c,David Mack,https://twitter.com/davidmackau/,New York,304932002,davidmackau,"deputy director, breaking news @BuzzFeedNews. 
ex @abcnews @triplej
australian knifey-spooney national champion.
https://t.co/8c63AJC31f",87602,1651
23,5eeb6451e836a1a3ebcb528d,Derek Thompson,https://twitter.com/DKThomp/,"Washington, D.C.",37723353,DKThomp,Writer at @TheAtlantic. Host of podcast CRAZY/GENIUS. Author of book HIT MAKERS. Talker on NPR's @hereandnow and @CBSNews. derek[at]theatlantic[dot]com,111035,1350
